#property,line_cd,station_cd1,station_cd2
608,11202,1120202,1120203
609,11202,1120203,1120204
610,11202,1120204,1120205
611,11202,1120205,1120206
612,11202,1120206,1120207
613,11202,1120207,1120208
614,11202,1120208,1120209
615,11202,1120209,1120210
616,11202,1120210,1120211
617,11202,1120211,1120212
618,11202,1120212,1120213
619,11202,1120213,1120214
620,11202,1120214,1120215
621,11202,1120215,1120216
622,11202,1120216,1120217
623,11202,1120217,1120218
624,11202,1120218,1120219
625,11202,1120219,1120220
626,11202,1120220,1120221
627,11202,1120221,1120222
628,11202,1120222,1120223
629,11202,1120223,1120224
630,11202,1120224,1120225
631,11202,1120225,1120226
632,11202,1120226,1120227
633,11202,1120227,1120228
634,11202,1120228,1120229
635,11202,1120229,1120230
636,11202,1120230,1120231
637,11202,1120231,1120232
638,11202,1120232,1120233
639,11202,1120233,1120234
640,11202,1120234,1120235
641,11202,1120235,1120236
642,11202,1120236,1120237
643,11202,1120237,1120238
644,11202,1120238,1120239
645,11202,1120239,1120240
646,11202,1120240,1120241
647,11202,1120241,1120242
648,11202,1120242,1120243
649,11202,1120243,1120244
650,11202,1120244,1120245
651,11202,1120245,1120246
652,11202,1120246,1120247
653,11202,1120247,1120248
654,11202,1120248,1120249
655,11202,1120249,1120250
656,11202,1120250,1120251
657,11202,1120251,1120252
658,11202,1120252,1120253
659,11202,1120253,1120254
660,11202,1120254,1120255
661,11202,1120255,1120256
662,11202,1120256,1120257
663,11202,1120257,1120258
664,11202,1120258,1120259
665,11202,1120259,1120260
666,11202,1120260,1120261
667,11202,1120261,1120262
668,11202,1120262,1120263
669,11202,1120263,1120264
670,11202,1120264,1120265
671,11202,1120265,1120266
672,11203,1120301,1120302
673,11203,1120302,1120303
674,11203,1120303,1120304
675,11203,1120304,1120305
676,11203,1120305,1120306
677,11203,1120306,1120307
678,11203,1120307,1120308
679,11203,1120308,1120309
680,11203,1120309,1120310
681,11203,1120310,1120311
682,11204,1120401,1120402
683,11204,1120402,1120403
684,11204,1120403,1120404
685,11204,1120404,1120405
686,11204,1120405,1120406
687,11204,1120406,1120407
688,11204,1120407,1120408
689,11204,1120408,1120409
690,11204,1120409,1120410
691,11204,1120410,1120411
692,11204,1120411,1120412
693,11204,1120412,1120413
694,11204,1120413,1120414
695,11204,1120414,1120415
696,11204,1120415,1120416
697,11204,1120416,1120417
698,11204,1120417,1120418
699,11204,1120418,1120419
700,11204,1120419,1120420
701,11204,1120420,1120421
702,11204,1120421,1120422
703,11204,1120422,1120423
704,11204,1120423,1120424
705,11204,1120424,1120425
706,11204,1120425,1120426
707,11204,1120426,1120427
708,11204,1120427,1120428
709,11204,1120428,1120429
710,11204,1120429,1120430
711,11204,1120430,1120431
712,11204,1120431,1120432
713,11204,1120432,1120433
714,11204,1120433,1120434
715,11204,1120434,1120435
716,11204,1120435,1120436
717,11204,1120436,1120437
718,11204,1120437,1120438
719,11204,1120438,1120439
720,11204,1120439,1120440
721,11204,1120440,1120441
722,11204,1120441,1120442
723,11204,1120442,1120443
724,11205,1120501,1120502
725,11205,1120502,1120503
726,11205,1120503,1120504
727,11205,1120504,1120505
728,11205,1120505,1120506
729,11205,1120506,1120507
